id,pt_BR,en,es
APP_NAME,"PlayTable","PlayTable","PlayTable"
APP_TITLE,"🎲 PlayTable","🎲 PlayTable","🎲 PlayTable"
APP_SUBTITLE,"Coleção Clássica Offline","Classic Offline Collection","Colección Clásica Offline"
MENU_BOARD_GAMES,"♟️  Jogos de Tabuleiro","♟️  Board Games","♟️  Juegos de Mesa"
MENU_CARD_GAMES,"🃏  Jogos de Cartas","🃏  Card Games","🃏  Juegos de Cartas"
SOUND_ON,"🔊 Som ligado","🔊 Sound on","🔊 Sonido activado"
SOUND_OFF,"🔇 Som desligado","🔇 Sound off","🔇 Sonido apagado"
FOOTER_OFFLINE_PROMISE,"100% Offline • Sem Anúncios • Gratuito","100% Offline • No Ads • Free","100% Offline • Sin Anuncios • Gratis"
BTN_BACK,"‹ Voltar","‹ Back","‹ Volver"
BTN_LANGUAGE,"🌐 Português","🌐 English","🌐 Español"
BTN_RESTART,"Jogar Novamente","Play Again","Jugar de Nuevo"
BTN_CONFIRM,"Confirmar","Confirm","Confirmar"
BTN_CANCEL,"Cancelar","Cancel","Cancelar"
BTN_UNDO,"Desfazer","Undo","Deshacer"
WIN_TITLE,"🏆 Vitória!","🏆 Victory!","🏆 ¡Victoria!"
LOSE_TITLE,"Derrota!","Defeat!","¡Derrota!"
DRAW_TITLE,"Empate!","Draw!","¡Empate!"
YOUR_TURN,"Sua Vez","Your Turn","Tu Turno"
AI_TURN,"Vez do Computador...","Computer Turn...","Turno de la IA..."
COMING_SOON_TITLE,"Jogo","Game","Juego"
COMING_SOON_DESC,"Em breve nesta coleção!\nFocado em jogabilidade offline e visual realista.","Coming soon to this collection!\nFocused on offline gameplay and realistic visuals.","¡Próximamente en esta colección!\nEnfocado en la jugabilidad offline y en el aspecto realista."
"GAME_CONNECT4","Quatro em Linha","Connect Four","Cuatro en Línea"
"GAME_TICTACTOE","Jogo da Velha","Tic-Tac-Toe","Tres en Raya"
"GAME_REVERSI","Reversi","Reversi","Reversi"
"GAME_BATTLESHIP","Batalha Naval","Battleship","Batalla Naval"
"GAME_CHECKERS","Damas","Checkers","Damas"
"GAME_MANCALA","Mancala","Mancala","Mancala"
"GAME_SOLITAIRE","Resta Um","Peg Solitaire","Senku"
"GAME_MINESWEEPER","Campo Minado","Minesweeper","Buscaminas"
"GAME_DOMINO","Dominó","Dominoes","Dominó"
"GAME_LUDO","Ludo","Ludo","Ludo"
"GAME_SENET","Senet","Senet","Senet"
